Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR 01,446.006250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 1,,,,
2,PMR 02,446.018750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 2,,,,
3,PMR 03,446.031250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 3,,,,
4,PMR 04,446.043750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 4,,,,
5,PMR 05,446.056250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 5,,,,
6,PMR 06,446.068750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 6,,,,
7,PMR 07,446.081250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,EU/ Europa  PMR kanaal 7,,,,
8,PMR 08,446.093750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,EU/ Europa  PMR kanaal 8,,,,
9,PMR 09,446.106250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
10,PMR 10,446.118750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
11,PMR 11,446.131250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
12,PMR 12,446.143750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
13,PMR 13,446.156250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
14,PMR 14,446.168750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
15,PMR 15,446.181250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
16,PMR 16,446.193750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,50W,,,,,
17,LPD 01,433.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,LPD 02,433.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,LPD 03,433.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,LPD 04,433.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
21,LPD 05,433.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
22,LPD 06,433.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
23,LPD 07,433.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
24,LPD 08,433.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
25,LPD 09,433.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
26,LPD 10,433.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,LPD 11,433.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,LPD 12,433.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
29,LPD 13,433.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
30,LPD 14,433.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
31,LPD 15,433.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
32,LPD 16,433.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
33,LPD 17,433.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,LPD 18,433.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,LPD 19,433.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,LPD 20,433.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,LPD 21,433.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
38,LPD 22,433.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
39,LPD 23,433.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
40,LPD 24,433.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,LPD 25,433.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
42,LPD 26,433.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
43,LPD 27,433.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
44,LPD 28,433.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
45,LPD 29,433.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
46,LPD 30,433.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
47,LPD 31,433.825000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
48,LPD 32,433.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
49,LPD 33,433.875000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
50,LPD 34,433.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
51,LPD 35,433.925000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
52,LPD 36,433.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
53,LPD 37,433.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,LPD 38,434.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
55,LPD 39,434.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
56,LPD 40,434.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
57,LPD 41,434.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
58,LPD 42,434.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
59,LPD 43,434.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
60,LPD 44,434.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
61,LPD 45,434.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
62,LPD 46,434.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
63,LPD 47,434.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,LPD 48,434.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
65,LPD 49,434.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
66,LPD 50,434.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
67,LPD 51,434.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
68,LPD 52,434.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
69,LPD 53,434.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
70,LPD 54,434.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
71,LPD 55,434.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
72,LPD 56,434.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
73,LPD 57,434.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
74,LPD 58,434.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
75,LPD 59,434.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
76,LPD 60,434.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
77,LPD 61,434.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
78,LPD 62,434.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
79,LPD 63,434.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
80,LPD 64,434.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
81,LPD 65,434.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
82,LPD 66,434.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
83,LPD 67,434.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
84,LPD 68,434.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
85,LPD 69,434.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
101,Arriva,419.875000,,0.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (Arriva),,,,
102,Connexxi,419.875000,,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (Connexxion),,,,
103,Combo L1,419.875000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (landelijk activiteiten 1),,,,
104,Combo L2,419.875000,,0.600000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (landelijk activiteiten 2),,,,
105,Combo L3,419.875000,,0.600000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (landelijk activiteiten 3),,,,
106,Combo L4,419.875000,,0.600000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (landelijk activiteiten 4),,,,
107,Qbuzz,419.875000,,0.600000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,NL/ Landelijk Combofoon Kort verkeer (Qbuzz/U-Ov),,,,
